keys,corridor_welfareStationEast_rescueStationSouth,corridor_constructionYardNorth_squareNorth,rescueStationSouth,securityCheckEast,corridor_observatory_outerBarrierWest,corridor_excavationShaftB_rescueStationSouth,bioengineeringHeadquarters,corridor_miningSchool_squareSouth,farm,industryHeadquarters,diamondShop,electrolysisStationSouth,outerBarrierWest,corridor_recycleFacilityEast_rescueStationNorth,corridor_rescueStationWest_mainControlRoom,corridor_squareSouth_mainControlRoom,tankArray,corridor_recycleFacilityEast_tankArray,excavationShaftB,recycleFacilityWest,corridor_squareSouth_securityCheckCenter,excavationShaftA,corridor_securityCheckEast_rescueStationNorth,corridor_constructionYardSouth_excavationShaftB,corridor_outerBarrierCenter_outerBarrierWest,corridor_constructionYardSouth_techSchool,corridor_securityCheckWest_squareNorth,corridor_mainControlRoom_rescueStationWest,corridor_reservoirWest_excavationShaftA,corridor_securityCheckWest_excavationShaftA,corridor_rescueStationSouth_miningSchool,outerBarrierCenter,corridor_rescueStationNorth_securityCheckEast,miningHeadquarters,observatory,corridor_mainControlRoom_squareSouth,outerBarrierEast,corridor_reservoirEast_mainControlRoom,corridor_miningSchool_securityCheckEast,corridor_squareSouth_rescueStationSouth,corridor_mainControlRoom_reservoirEast,corridor_outerBarrierEast_asteroidMine,corridor_squareSouth_miningSchool,corridor_rescueStationSouth_excavationShaftB,cemetery,theEngine,corridor_outerBarrierWest_observatory,miningSchool,fineFoodStore-1,welfareStationWest,corridor_securityCheckCenter_market,corridor_recycleFacilityWest_outerBarrierWest,reservoirWest,corridor_outerBarrierCenter_spacePort,corridor_electrolysisStationNorth_recycleFacilityWest,corridor_outerBarrierCenter_outerBarrierEast,corridor_recycleFacilityWest_electrolysisStationNorth,corridor_squareNorth_recycleFacilityWest,corridor_rescueStationSouth_squareSouth,corridor_market_constructionYardNorth,corridor_market_rescueStationNorth,interiorHeadquarters,recycleFacilityEast,safetyHeadquarters,corridor_excavationShaftB_constructionYardSouth,rescueStationWest,techSchool,spacePort,welfareStationEast,corridor_squareSouth_electrolysisStationSouth,corridor_electrolysisStationSouth_reservoirEast,corridor_squareNorth_securityCheckWest,corridor_miningSchool_excavationShaftB,securityCheckCenter,asteroidMine,corridor_miningSchool_rescueStationSouth,corridor_spacePort_outerBarrierCenter,corridor_constructionYardNorth_market,tavern,corridor_outerBarrierWest_outerBarrierCenter,corridor_cemetery_securityCheckEast,corridor_rescueStationNorth_market,corridor_securityCheckEast_cemetery,securityCheckWest,corridor_excavationShaftA_securityCheckWest,corridor_welfareStationWest_squareNorth,corridor_electrolysisStationSouth_squareSouth,corridor_excavationShaftA_reservoirWest,corridor_techSchool_constructionYardSouth,corridor_tankArray_recycleFacilityEast,corridor_squareNorth_constructionYardNorth,infrastructureHeadquarters,electrolysisStationNorth,corridor_rescueStationNorth_recycleFacilityEast,corridor_recycleFacilityWest_squareNorth,corridor_excavationShaftB_miningSchool,market,corridor_rescueStationWest_excavationShaftA,corridor_reservoirEast_farm,corridor_excavationShaftA_rescueStationWest,rescueStationNorth,corridor_squareNorth_welfareStationWest,corridor_farm_reservoirEast,corridor_excavationShaftA_theEngine,corridor_miningSchool_techSchool,corridor_mainControlRoom_securityCheckCenter,ammoniaShop,corridor_securityCheckEast_miningSchool,corridor_squareSouth_welfareStationEast,corridor_outerBarrierWest_recycleFacilityWest,educationHeadquarters,corridor_asteroidMine_outerBarrierEast,squareSouth,corridor_securityCheckCenter_mainControlRoom,constructionYardNorth,reservoirEast,corridor_market_securityCheckCenter,corridor_welfareStationEast_squareSouth,corridor_techSchool_miningSchool,mainControlRoom,corridor_reservoirEast_electrolysisStationSouth,corridor_theEngine_excavationShaftA,constructionYardSouth,corridor_outerBarrierEast_outerBarrierCenter,squareNorth,corridor_securityCheckCenter_squareSouth,corridor_rescueStationSouth_welfareStationEast
2940,83.0,0.0,82.0,43.0,14.0,0.0,0.0,0.0,0.0,0.0,48.0,54.0,62.0,38.0,86.0,48.0,43.0,38.0,0.0,36.0,48.0,0.0,43.0,0.0,66.0,0.0,44.0,108.0,44.0,44.0,82.0,66.0,84.0,0.0,14.0,108.0,64.0,40.0,0.0,48.0,108.0,64.0,48.0,82.0,0.0,105.0,62.0,0.0,0.0,78.0,46.0,36.0,44.0,66.0,55.0,66.0,36.0,4.0,82.0,1156.0,1156.0,108.0,38.0,84.0,0.0,86.0,0.0,0.0,83.0,48.0,54.0,4.0,0.0,41.0,0.0,0.0,0.0,0.0,1156.0,62.0,0.0,84.0,43.0,44.0,0.0,78.0,54.0,0.0,0.0,43.0,4.0,62.0,55.0,84.0,36.0,0.0,1161.0,86.0,40.0,0.0,84.0,4.0,0.0,0.0,0.0,108.0,48.0,43.0,48.0,62.0,0.0,0.0,48.0,41.0,0.0,40.0,1161.0,83.0,0.0,108.0,40.0,105.0,0.0,64.0,4.0,41.0,82.0
3000,83.0,0.0,82.0,43.0,14.0,0.0,0.0,0.0,0.0,0.0,53.0,54.0,62.0,38.0,86.0,53.0,43.0,38.0,0.0,36.0,53.0,0.0,43.0,0.0,66.0,0.0,44.0,108.0,44.0,44.0,82.0,66.0,84.0,0.0,14.0,108.0,64.0,40.0,0.0,53.0,108.0,64.0,53.0,82.0,0.0,105.0,62.0,0.0,0.0,78.0,41.0,36.0,44.0,66.0,55.0,66.0,36.0,4.0,82.0,1156.0,1156.0,108.0,38.0,84.0,0.0,86.0,0.0,0.0,83.0,53.0,54.0,4.0,0.0,41.0,0.0,0.0,0.0,0.0,1156.0,62.0,0.0,84.0,43.0,44.0,0.0,78.0,54.0,0.0,0.0,43.0,4.0,62.0,55.0,84.0,36.0,0.0,1156.0,86.0,40.0,0.0,84.0,4.0,0.0,0.0,0.0,108.0,53.0,43.0,53.0,62.0,0.0,0.0,53.0,41.0,0.0,40.0,1156.0,83.0,0.0,108.0,40.0,105.0,0.0,64.0,4.0,41.0,82.0
3060,83.0,0.0,82.0,43.0,14.0,0.0,0.0,0.0,0.0,0.0,53.0,54.0,62.0,38.0,86.0,53.0,43.0,38.0,0.0,36.0,53.0,0.0,43.0,0.0,66.0,0.0,44.0,108.0,44.0,44.0,82.0,66.0,84.0,0.0,14.0,108.0,64.0,40.0,0.0,53.0,108.0,64.0,53.0,82.0,0.0,105.0,62.0,0.0,0.0,78.0,41.0,36.0,44.0,66.0,55.0,66.0,36.0,4.0,82.0,1156.0,1156.0,108.0,38.0,84.0,0.0,86.0,0.0,0.0,83.0,53.0,54.0,4.0,0.0,41.0,0.0,0.0,0.0,0.0,1156.0,62.0,0.0,84.0,43.0,44.0,0.0,78.0,54.0,0.0,0.0,43.0,4.0,62.0,55.0,84.0,36.0,0.0,1156.0,86.0,40.0,0.0,84.0,4.0,0.0,0.0,0.0,108.0,53.0,43.0,53.0,62.0,0.0,0.0,53.0,41.0,0.0,40.0,1156.0,83.0,0.0,108.0,40.0,105.0,0.0,64.0,4.0,41.0,82.0
3120,83.0,0.0,82.0,43.0,14.0,0.0,0.0,1000.0,0.0,0.0,53.0,54.0,62.0,38.0,86.0,53.0,43.0,38.0,0.0,36.0,53.0,0.0,43.0,0.0,66.0,0.0,44.0,108.0,44.0,44.0,82.0,66.0,84.0,0.0,14.0,108.0,64.0,40.0,1000.0,53.0,108.0,64.0,53.0,82.0,0.0,105.0,62.0,1005.0,0.0,78.0,41.0,36.0,44.0,66.0,55.0,66.0,36.0,4.0,82.0,151.0,151.0,108.0,38.0,84.0,0.0,86.0,0.0,0.0,83.0,53.0,54.0,4.0,1000.0,41.0,0.0,1000.0,0.0,0.0,151.0,62.0,0.0,84.0,43.0,44.0,0.0,78.0,54.0,0.0,0.0,43.0,4.0,62.0,55.0,84.0,36.0,0.0,151.0,86.0,40.0,0.0,84.0,4.0,0.0,0.0,1005.0,108.0,53.0,43.0,53.0,62.0,0.0,0.0,53.0,41.0,0.0,40.0,151.0,83.0,5.0,108.0,40.0,105.0,0.0,64.0,4.0,41.0,82.0
3180,83.0,0.0,82.0,43.0,14.0,0.0,0.0,0.0,0.0,0.0,53.0,54.0,62.0,38.0,86.0,53.0,43.0,38.0,0.0,36.0,53.0,0.0,43.0,0.0,66.0,0.0,44.0,108.0,44.0,44.0,82.0,66.0,84.0,0.0,14.0,108.0,64.0,40.0,0.0,53.0,108.0,64.0,53.0,82.0,0.0,105.0,62.0,0.0,0.0,78.0,41.0,36.0,44.0,66.0,55.0,66.0,36.0,4.0,82.0,151.0,151.0,108.0,38.0,84.0,0.0,86.0,1005.0,0.0,83.0,53.0,54.0,4.0,0.0,41.0,0.0,0.0,0.0,0.0,151.0,62.0,0.0,84.0,43.0,44.0,0.0,78.0,54.0,0.0,1005.0,43.0,4.0,62.0,55.0,84.0,36.0,0.0,151.0,86.0,40.0,0.0,84.0,4.0,0.0,0.0,0.0,108.0,53.0,43.0,53.0,62.0,1005.0,0.0,53.0,41.0,0.0,40.0,151.0,83.0,1005.0,108.0,40.0,105.0,0.0,64.0,4.0,41.0,82.0
3240,83.0,0.0,82.0,43.0,14.0,0.0,0.0,0.0,0.0,0.0,53.0,54.0,62.0,38.0,86.0,53.0,43.0,38.0,0.0,36.0,53.0,0.0,43.0,0.0,66.0,0.0,44.0,108.0,44.0,44.0,82.0,591.0,1089.0,0.0,14.0,108.0,64.0,40.0,0.0,53.0,108.0,64.0,53.0,82.0,0.0,105.0,62.0,0.0,0.0,78.0,41.0,36.0,44.0,66.0,55.0,591.0,36.0,4.0,82.0,151.0,151.0,108.0,38.0,1089.0,0.0,86.0,0.0,0.0,83.0,53.0,54.0,4.0,0.0,41.0,0.0,0.0,0.0,0.0,151.0,62.0,0.0,1089.0,43.0,44.0,0.0,78.0,54.0,0.0,0.0,43.0,4.0,62.0,55.0,1089.0,36.0,0.0,151.0,86.0,40.0,0.0,1089.0,4.0,0.0,0.0,0.0,108.0,53.0,43.0,53.0,62.0,0.0,0.0,53.0,41.0,0.0,40.0,151.0,83.0,0.0,108.0,40.0,105.0,0.0,589.0,4.0,41.0,82.0
3300,83.0,7.0,82.0,43.0,14.0,0.0,0.0,0.0,0.0,0.0,47.0,54.0,587.0,38.0,86.0,47.0,43.0,38.0,0.0,36.0,47.0,25.0,43.0,0.0,591.0,0.0,44.0,108.0,69.0,44.0,82.0,66.0,84.0,0.0,14.0,108.0,64.0,40.0,0.0,47.0,108.0,64.0,47.0,82.0,0.0,105.0,62.0,0.0,0.0,78.0,47.0,36.0,44.0,66.0,55.0,66.0,36.0,679.0,82.0,144.0,1149.0,108.0,38.0,84.0,0.0,86.0,0.0,0.0,83.0,47.0,54.0,679.0,0.0,49.0,0.0,0.0,0.0,0.0,144.0,587.0,0.0,1089.0,43.0,44.0,0.0,78.0,54.0,25.0,0.0,43.0,686.0,62.0,55.0,84.0,36.0,0.0,144.0,86.0,40.0,0.0,1089.0,679.0,0.0,0.0,0.0,110.0,47.0,43.0,47.0,62.0,0.0,0.0,47.0,49.0,0.0,40.0,144.0,83.0,0.0,108.0,40.0,105.0,0.0,64.0,686.0,47.0,82.0
3360,112.0,8.0,82.0,603.0,14.0,0.0,0.0,0.0,0.0,0.0,47.0,54.0,69.0,38.0,86.0,49.0,43.0,38.0,0.0,36.0,49.0,0.0,578.0,0.0,66.0,0.0,596.0,106.0,44.0,44.0,82.0,66.0,623.0,0.0,14.0,108.0,64.0,40.0,0.0,47.0,106.0,64.0,47.0,82.0,0.0,105.0,65.0,0.0,0.0,78.0,722.0,36.0,44.0,66.0,55.0,66.0,36.0,0.0,82.0,27.0,1149.0,110.0,38.0,90.0,0.0,86.0,0.0,0.0,112.0,47.0,54.0,552.0,0.0,722.0,0.0,0.0,0.0,3.0,24.0,65.0,25.0,1213.0,68.0,44.0,0.0,78.0,54.0,0.0,0.0,43.0,8.0,69.0,55.0,88.0,36.0,0.0,29.0,86.0,40.0,0.0,1215.0,0.0,0.0,0.0,0.0,106.0,47.0,43.0,47.0,65.0,0.0,0.0,49.0,41.0,0.0,40.0,705.0,112.0,0.0,110.0,40.0,105.0,0.0,64.0,560.0,43.0,82.0
3420,83.0,15.0,82.0,43.0,14.0,4.0,704.0,0.0,706.0,562.0,428.0,54.0,92.0,38.0,86.0,425.0,43.0,38.0,4.0,58.0,424.0,552.0,43.0,560.0,66.0,560.0,44.0,131.0,44.0,44.0,82.0,66.0,95.0,552.0,14.0,134.0,64.0,40.0,0.0,422.0,131.0,64.0,422.0,86.0,0.0,105.0,62.0,0.0,0.0,78.0,47.0,46.0,44.0,66.0,55.0,66.0,39.0,337.0,82.0,20.0,1013.0,137.0,38.0,120.0,0.0,86.0,132.0,0.0,83.0,422.0,54.0,320.0,0.0,49.0,0.0,0.0,0.0,17.0,8.0,62.0,0.0,1100.0,43.0,44.0,552.0,78.0,54.0,552.0,128.0,43.0,330.0,87.0,55.0,95.0,56.0,0.0,1013.0,86.0,46.0,552.0,120.0,320.0,706.0,552.0,0.0,131.0,422.0,43.0,422.0,69.0,132.0,0.0,428.0,45.0,23.0,44.0,10.0,83.0,128.0,140.0,40.0,105.0,562.0,64.0,324.0,47.0,82.0
3480,83.0,85.0,82.0,53.0,14.0,525.0,702.0,124.0,702.0,566.0,420.0,54.0,95.0,38.0,88.0,431.0,43.0,38.0,525.0,50.0,420.0,557.0,57.0,535.0,90.0,535.0,46.0,108.0,44.0,48.0,82.0,84.0,103.0,550.0,14.0,117.0,64.0,44.0,128.0,420.0,106.0,64.0,420.0,82.0,0.0,105.0,64.0,132.0,0.0,78.0,101.0,46.0,44.0,66.0,55.0,66.0,36.0,1325.0,82.0,363.0,340.0,131.0,38.0,114.0,525.0,88.0,145.0,30.0,83.0,420.0,54.0,1321.0,124.0,66.0,525.0,124.0,30.0,88.0,337.0,88.0,0.0,92.0,43.0,48.0,527.0,78.0,54.0,525.0,120.0,43.0,1344.0,89.0,55.0,89.0,40.0,525.0,381.0,93.0,48.0,532.0,122.0,1321.0,681.0,525.0,132.0,106.0,420.0,47.0,420.0,74.0,145.0,525.0,420.0,47.0,95.0,48.0,391.0,83.0,128.0,142.0,44.0,105.0,566.0,64.0,1331.0,47.0,82.0
3540,89.0,69.0,96.0,54.0,23.0,538.0,707.0,124.0,714.0,566.0,432.0,63.0,98.0,48.0,96.0,425.0,51.0,48.0,538.0,44.0,433.0,567.0,54.0,543.0,78.0,541.0,49.0,111.0,50.0,49.0,94.0,76.0,91.0,567.0,23.0,111.0,71.0,50.0,132.0,427.0,111.0,82.0,425.0,94.0,14.0,112.0,67.0,132.0,10.0,87.0,68.0,48.0,50.0,78.0,63.0,76.0,44.0,1331.0,96.0,344.0,349.0,136.0,48.0,112.0,540.0,96.0,156.0,38.0,89.0,425.0,63.0,1331.0,124.0,60.0,536.0,124.0,38.0,69.0,349.0,69.0,14.0,97.0,50.0,49.0,542.0,87.0,63.0,544.0,120.0,51.0,1336.0,92.0,63.0,87.0,44.0,538.0,366.0,96.0,57.0,542.0,118.0,1331.0,689.0,542.0,135.0,113.0,442.0,58.0,425.0,71.0,145.0,536.0,457.0,58.0,66.0,50.0,351.0,89.0,131.0,138.0,50.0,112.0,568.0,71.0,1334.0,64.0,94.0
3600,89.0,73.0,96.0,48.0,23.0,538.0,714.0,132.0,714.0,568.0,446.0,63.0,94.0,48.0,96.0,431.0,51.0,48.0,538.0,44.0,431.0,567.0,51.0,543.0,78.0,543.0,49.0,111.0,50.0,49.0,96.0,78.0,93.0,567.0,23.0,111.0,71.0,52.0,132.0,431.0,111.0,71.0,431.0,96.0,14.0,112.0,69.0,132.0,14.0,87.0,50.0,44.0,50.0,76.0,63.0,76.0,44.0,1339.0,96.0,346.0,350.0,136.0,48.0,115.0,538.0,96.0,156.0,38.0,89.0,431.0,63.0,1337.0,132.0,50.0,536.0,132.0,38.0,68.0,356.0,71.0,14.0,98.0,48.0,49.0,542.0,87.0,63.0,542.0,131.0,51.0,1346.0,94.0,63.0,90.0,46.0,538.0,346.0,96.0,52.0,542.0,122.0,1337.0,689.0,542.0,132.0,111.0,452.0,48.0,431.0,69.0,156.0,536.0,467.0,50.0,70.0,52.0,342.0,89.0,131.0,136.0,52.0,112.0,568.0,71.0,1346.0,50.0,96.0
3660,83.0,78.0,90.0,45.0,23.0,536.0,714.0,135.0,714.0,568.0,441.0,63.0,92.0,52.0,88.0,432.0,43.0,42.0,536.0,48.0,437.0,569.0,45.0,543.0,76.0,543.0,49.0,106.0,50.0,46.0,88.0,76.0,88.0,567.0,23.0,106.0,71.0,50.0,135.0,434.0,106.0,64.0,432.0,88.0,14.0,112.0,67.0,135.0,12.0,81.0,72.0,41.0,48.0,76.0,63.0,83.0,41.0,1340.0,90.0,360.0,360.0,131.0,46.0,113.0,536.0,88.0,156.0,38.0,83.0,432.0,63.0,1332.0,135.0,63.0,536.0,135.0,38.0,64.0,372.0,67.0,14.0,88.0,45.0,46.0,542.0,87.0,63.0,544.0,131.0,47.0,1343.0,92.0,63.0,102.0,52.0,536.0,376.0,88.0,50.0,542.0,123.0,1335.0,689.0,542.0,135.0,113.0,449.0,45.0,435.0,67.0,156.0,536.0,464.0,60.0,74.0,50.0,379.0,86.0,131.0,133.0,50.0,112.0,568.0,71.0,1346.0,58.0,88.0
3720,0.0,1328.0,86.0,12.0,23.0,11.0,32.0,13.0,37.0,29.0,22.0,66.0,122.0,38.0,8.0,425.0,0.0,43.0,11.0,9.0,63.0,567.0,9.0,29.0,83.0,568.0,46.0,41.0,48.0,525.0,86.0,76.0,9.0,30.0,0.0,443.0,4.0,44.0,56.0,17.0,33.0,4.0,19.0,10.0,14.0,112.0,53.0,60.0,14.0,6.0,46.0,65.0,48.0,16.0,60.0,14.0,58.0,18.0,8.0,30.0,106.0,33.0,81.0,4.0,7.0,86.0,8.0,8.0,83.0,72.0,12.0,58.0,9.0,70.0,11.0,89.0,8.0,25.0,28.0,103.0,14.0,96.0,9.0,46.0,555.0,6.0,63.0,74.0,547.0,43.0,1331.0,30.0,60.0,42.0,9.0,7.0,62.0,92.0,726.0,122.0,92.0,15.0,714.0,138.0,12.0,147.0,26.0,51.0,98.0,92.0,8.0,11.0,452.0,118.0,16.0,721.0,56.0,83.0,11.0,140.0,50.0,112.0,568.0,4.0,1331.0,52.0,6.0
3780,25.0,194.0,0.0,2.0,0.0,525.0,0.0,120.0,0.0,25.0,6.0,0.0,12.0,0.0,82.0,422.0,0.0,0.0,525.0,111.0,23.0,33.0,589.0,0.0,15.0,0.0,29.0,93.0,2.0,6.0,0.0,11.0,592.0,25.0,0.0,429.0,70.0,34.0,122.0,10.0,13.0,60.0,6.0,0.0,25.0,0.0,8.0,120.0,0.0,75.0,1722.0,111.0,0.0,3.0,0.0,13.0,99.0,541.0,4.0,467.0,399.0,13.0,0.0,28.0,525.0,150.0,153.0,30.0,25.0,6.0,0.0,34.0,120.0,1038.0,525.0,120.0,30.0,137.0,399.0,20.0,25.0,3.0,25.0,29.0,2.0,75.0,0.0,2.0,128.0,0.0,134.0,8.0,0.0,3.0,631.0,525.0,1118.0,114.0,34.0,112.0,617.0,9.0,0.0,0.0,120.0,18.0,6.0,2.0,6.0,20.0,153.0,525.0,22.0,1005.0,214.0,34.0,1121.0,25.0,128.0,463.0,34.0,0.0,25.0,70.0,570.0,1017.0,0.0
3840,0.0,114.0,6.0,117.0,0.0,525.0,0.0,120.0,0.0,25.0,425.0,105.0,95.0,0.0,52.0,419.0,0.0,0.0,525.0,81.0,1475.0,107.0,84.0,0.0,525.0,0.0,0.0,149.0,25.0,86.0,6.0,525.0,84.0,27.0,0.0,103.0,60.0,40.0,128.0,419.0,109.0,60.0,419.0,6.0,0.0,0.0,0.0,120.0,0.0,75.0,163.0,172.0,25.0,0.0,0.0,0.0,34.0,334.0,6.0,440.0,353.0,103.0,0.0,105.0,525.0,12.0,145.0,30.0,0.0,444.0,80.0,326.0,120.0,1048.0,525.0,120.0,30.0,150.0,353.0,525.0,25.0,80.0,105.0,6.0,88.0,750.0,105.0,27.0,120.0,0.0,377.0,0.0,0.0,80.0,42.0,525.0,536.0,6.0,34.0,2.0,105.0,1001.0,0.0,2.0,120.0,103.0,419.0,88.0,419.0,138.0,145.0,525.0,481.0,42.0,111.0,40.0,474.0,0.0,120.0,143.0,34.0,0.0,25.0,60.0,1027.0,1098.0,6.0
3900,80.0,166.0,86.0,573.0,35.0,525.0,31.0,120.0,31.0,25.0,410.0,2.0,70.0,150.0,86.0,435.0,60.0,100.0,525.0,36.0,418.0,25.0,535.0,0.0,10.0,0.0,8.0,107.0,25.0,6.0,86.0,0.0,615.0,25.0,35.0,132.0,585.0,74.0,158.0,410.0,147.0,60.0,410.0,86.0,0.0,0.0,95.0,120.0,0.0,750.0,1053.0,36.0,25.0,0.0,0.0,525.0,30.0,318.0,86.0,381.0,370.0,107.0,100.0,105.0,525.0,86.0,145.0,30.0,80.0,410.0,2.0,320.0,120.0,1049.0,525.0,120.0,30.0,79.0,370.0,70.0,0.0,80.0,0.0,6.0,0.0,750.0,2.0,25.0,120.0,60.0,416.0,60.0,0.0,130.0,30.0,525.0,384.0,86.0,34.0,0.0,155.0,993.0,0.0,0.0,120.0,117.0,410.0,38.0,410.0,66.0,145.0,525.0,416.0,50.0,119.0,34.0,1383.0,80.0,120.0,182.0,34.0,0.0,25.0,585.0,370.0,48.0,86.0
3960,80.0,151.0,86.0,38.0,10.0,525.0,25.0,120.0,25.0,560.0,416.0,1000.0,60.0,160.0,86.0,416.0,0.0,100.0,525.0,36.0,466.0,71.0,38.0,535.0,0.0,535.0,69.0,109.0,0.0,69.0,80.0,0.0,80.0,25.0,10.0,103.0,60.0,40.0,120.0,422.0,109.0,585.0,416.0,80.0,0.0,0.0,60.0,120.0,0.0,75.0,95.0,36.0,0.0,0.0,0.0,0.0,30.0,362.0,86.0,1057.0,1057.0,128.0,100.0,105.0,525.0,86.0,145.0,30.0,80.0,1418.0,0.0,328.0,120.0,44.0,1050.0,120.0,30.0,62.0,1057.0,60.0,0.0,80.0,38.0,63.0,6.0,75.0,1002.0,0.0,120.0,0.0,411.0,60.0,0.0,140.0,70.0,525.0,1114.0,120.0,34.0,40.0,165.0,322.0,0.0,0.0,120.0,115.0,416.0,38.0,416.0,66.0,145.0,1050.0,468.0,50.0,104.0,34.0,1114.0,80.0,120.0,140.0,34.0,0.0,560.0,60.0,415.0,88.0,80.0
4020,80.0,142.0,86.0,598.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,50.0,60.0,35.0,116.0,6.0,0.0,0.0,0.0,36.0,35.0,5.0,573.0,0.0,525.0,0.0,50.0,133.0,40.0,38.0,86.0,525.0,655.0,5.0,10.0,103.0,60.0,34.0,0.0,6.0,103.0,60.0,6.0,86.0,0.0,0.0,60.0,0.0,0.0,75.0,832.0,36.0,40.0,0.0,0.0,0.0,30.0,87.0,86.0,1059.0,1173.0,103.0,35.0,120.0,0.0,108.0,0.0,0.0,80.0,6.0,50.0,49.0,0.0,155.0,0.0,0.0,0.0,29.0,1053.0,585.0,25.0,240.0,63.0,38.0,5.0,75.0,50.0,5.0,0.0,0.0,156.0,60.0,0.0,155.0,80.0,0.0,1866.0,90.0,34.0,9.0,120.0,37.0,0.0,5.0,0.0,109.0,6.0,38.0,31.0,66.0,0.0,0.0,56.0,44.0,82.0,34.0,1847.0,105.0,0.0,115.0,34.0,0.0,0.0,60.0,159.0,67.0,86.0
4080,80.0,86.0,86.0,38.0,10.0,0.0,0.0,4.0,0.0,0.0,37.0,50.0,645.0,35.0,94.0,37.0,40.0,35.0,0.0,30.0,37.0,147.0,38.0,0.0,0.0,0.0,38.0,117.0,40.0,44.0,80.0,0.0,80.0,47.0,10.0,103.0,60.0,34.0,12.0,43.0,103.0,60.0,37.0,80.0,0.0,0.0,120.0,12.0,0.0,75.0,178.0,555.0,40.0,0.0,50.0,0.0,30.0,684.0,86.0,1044.0,1032.0,103.0,35.0,80.0,0.0,94.0,0.0,0.0,80.0,37.0,50.0,684.0,4.0,172.0,0.0,4.0,0.0,39.0,1032.0,120.0,0.0,80.0,38.0,44.0,35.0,75.0,50.0,29.0,0.0,40.0,743.0,120.0,50.0,80.0,30.0,0.0,1050.0,180.0,34.0,129.0,80.0,684.0,0.0,29.0,4.0,109.0,37.0,46.0,37.0,645.0,0.0,0.0,37.0,48.0,77.0,34.0,1168.0,80.0,0.0,103.0,34.0,0.0,0.0,60.0,699.0,42.0,80.0
4140,80.0,60.0,86.0,38.0,10.0,0.0,0.0,0.0,0.0,0.0,31.0,50.0,60.0,35.0,92.0,35.0,40.0,35.0,0.0,30.0,35.0,22.0,38.0,0.0,60.0,0.0,38.0,231.0,40.0,38.0,86.0,585.0,80.0,22.0,10.0,229.0,60.0,34.0,0.0,31.0,225.0,60.0,31.0,86.0,0.0,100.0,60.0,0.0,0.0,75.0,50.0,30.0,40.0,60.0,50.0,585.0,30.0,20.0,86.0,1057.0,1045.0,225.0,35.0,80.0,0.0,86.0,0.0,0.0,80.0,31.0,50.0,20.0,0.0,44.0,0.0,0.0,0.0,12.0,1045.0,60.0,0.0,80.0,38.0,38.0,6.0,75.0,50.0,6.0,0.0,40.0,80.0,60.0,50.0,80.0,30.0,0.0,1057.0,86.0,34.0,6.0,80.0,20.0,0.0,6.0,0.0,225.0,31.0,38.0,31.0,60.0,0.0,0.0,39.0,38.0,66.0,34.0,1057.0,80.0,0.0,231.0,34.0,100.0,0.0,585.0,20.0,42.0,86.0
4200,80.0,66.0,86.0,38.0,10.0,0.0,0.0,0.0,0.0,0.0,37.0,50.0,60.0,35.0,109.0,37.0,40.0,35.0,0.0,30.0,37.0,6.0,38.0,0.0,60.0,0.0,43.0,121.0,40.0,38.0,80.0,60.0,80.0,0.0,10.0,103.0,60.0,34.0,0.0,43.0,103.0,60.0,37.0,80.0,0.0,100.0,60.0,0.0,0.0,75.0,164.0,30.0,40.0,60.0,50.0,60.0,30.0,14.0,86.0,1057.0,1039.0,103.0,35.0,80.0,0.0,103.0,0.0,0.0,80.0,37.0,50.0,19.0,0.0,158.0,0.0,0.0,0.0,42.0,1039.0,60.0,0.0,80.0,38.0,38.0,0.0,75.0,50.0,0.0,0.0,40.0,56.0,60.0,50.0,80.0,30.0,0.0,1045.0,97.0,34.0,6.0,80.0,14.0,0.0,0.0,0.0,103.0,37.0,38.0,37.0,60.0,0.0,0.0,37.0,38.0,78.0,34.0,1165.0,80.0,0.0,109.0,34.0,100.0,0.0,60.0,25.0,38.0,80.0
4260,80.0,60.0,86.0,38.0,10.0,0.0,0.0,0.0,0.0,0.0,18.0,50.0,60.0,41.0,92.0,18.0,40.0,35.0,0.0,30.0,163.0,12.0,38.0,0.0,60.0,0.0,38.0,109.0,40.0,38.0,86.0,60.0,80.0,6.0,10.0,103.0,60.0,34.0,0.0,18.0,103.0,60.0,18.0,86.0,0.0,100.0,60.0,0.0,0.0,75.0,53.0,30.0,40.0,60.0,50.0,60.0,30.0,14.0,86.0,1051.0,1033.0,103.0,41.0,80.0,0.0,86.0,0.0,0.0,80.0,18.0,50.0,14.0,0.0,44.0,0.0,0.0,0.0,18.0,1033.0,60.0,0.0,80.0,38.0,38.0,6.0,75.0,50.0,6.0,0.0,40.0,74.0,60.0,50.0,86.0,30.0,0.0,1054.0,92.0,34.0,12.0,80.0,14.0,0.0,6.0,0.0,103.0,18.0,38.0,18.0,60.0,0.0,0.0,163.0,38.0,60.0,34.0,1048.0,80.0,0.0,109.0,34.0,100.0,0.0,60.0,20.0,183.0,86.0
